id,sentence,script_type,char_pinyin_pairs,english_translation,sentence_hsk_level
71,生活就是當你忙著進行你的計劃時總有其他的事情發生。,traditional,生:sheng1|活:huo2|就:jiu4|是:shi4|當:dang1|你:ni3|忙:mang2|著:zhe|進:jin4|行:xing2|你:ni3|的:de|計:ji4|劃:hua4|時:shi2|總:zong3|有:you3|其:qi2|他:ta1|的:de|事:shi4|情:qing2|發:fa1|生:sheng1|。:,Life is what happens when you're busy making other plans.,4
72,没有欲望就等于拥有。,simplified,没:mei2|有:you3|欲:yu4|望:wang4|就:jiu4|等:deng3|于:yu2|拥:yong1|有:you3|。:,Having no desires is equivalent to having everything.,6
73,聖誕節快樂！,traditional,聖:sheng4|誕:dan4|節:jie2|快:kuai4|樂:le4|！:,Merry Christmas!,6
74,罗马不是一天建成的。,simplified,罗:luo2|马:ma3|不:bu2|是:shi4|一:yi1|天:tian1|建:jian4|成:cheng2|的:de|。:,Rome wasn't built in a day.,7-9
75,你是从哪个国家来的？,simplified,你:ni3|是:shi4|从:cong2|哪:na3|个:ge|国:guo2|家:jia1|来:lai2|的:de|？:,Which country are you from?,1
76,我已经看过这部电影了。,simplified,我:wo3|已:yi3|经:jing1|看:kan4|过:guo4|这:zhe4|部:bu4|电:dian4|影:ying3|了:le|。:,I've already seen this movie.,2
77,墨西哥有很多贫民窟。,simplified,墨:mo4|西:xi1|哥:ge1|有:you3|很:hen3|多:duo1|贫:pin2|民:min2|窟:ku1|。:,Mexico has many slums.,7-9
78,这间房间朝向很好。,simplified,这:zhe4|间:jian1|房:fang2|间:jian1|朝:chao2|向:xiang4|很:hen3|好:hao3|。:,This room has a great view.,3
79,你知不知道他们是谁?,simplified,你:ni3|知:zhi1|不:bu4|知:zhi1|道:dao4|他:ta1|们:men|是:shi4|谁:shei2|?:,Do you know who they are?,1
80,你骗人！,simplified,你:ni3|骗:pian4|人:ren2|！:,You're lying!,5
81,他也会说法语。,simplified,他:ta1|也:ye3|会:hui4|说:shuo1|法:fa3|语:yu3|。:,He can also speak French.,2
82,我会说法语。,simplified,我:wo3|会:hui4|说:shuo1|法:fa3|语:yu3|。:,I can speak French.,2
83,我收到了请帖。,simplified,我:wo3|收:shou1|到:dao4|了:le|请:qing3|帖:tie3|。:,I received the invitation.,7-9
84,你住在哪里？,neutral,你:ni3|住:zhu4|在:zai4|哪:na3|里:li3|？:,Where do you live?,1
85,你记不记得我们认识的那一天？,simplified,你:ni3|记:ji4|不:bu4|记:ji4|得:de|我:wo3|们:men|认:ren4|识:shi2|的:de|那:na4|一:yi1|天:tian1|？:,Do you remember the day we met?,1
86,他住在这里吗？,simplified,他:ta1|住:zhu4|在:zai4|这:zhe4|里:li3|吗:ma|？:,Does he live here?,1
87,火车站离这里不远。,simplified,火:huo3|车:che1|站:zhan4|离:li2|这:zhe4|里:li3|不:bu4|远:yuan3|。:,The train station is not far from here.,2
88,火车站在哪里?,simplified,火:huo3|车:che1|站:zhan4|在:zai4|哪:na3|里:li3|?:,Where is the train station?,1
89,正在下雹。,neutral,正:zheng4|在:zai4|下:xia4|雹:bao2|。:,It's hailing.,beyond-hsk
90,我爱你。,simplified,我:wo3|爱:ai4|你:ni3|。:,I love you.,1
91,我喜欢旅行。,neutral,我:wo3|喜:xi3|欢:huan1|旅:lv3|行:xing2|。:,I like to travel.,2
92,我很期待去旅游.,neutral,我:wo3|很:hen3|期:qi1|待:dai4|去:qu4|旅:lv3|游:you2|.:,I am looking forward to traveling.,3
93,我在旅行社工作.,neutral,我:wo3|在:zai4|旅:lv3|行:xing2|社:she4|工:gong1|作:zuo4|.:,I work at a travel agency.,3
94,我跟父母住在一起.,neutral,我:wo3|跟:gen1|父:fu4|母:mu3|住:zhu4|在:zai4|一:yi4|起:qi3|.:,I live with my parents.,3
95,他没有孩子。,neutral,他:ta1|没:mei2|有:you3|孩:hai2|子:zi|。:,He has no children.,1
96,这是我的妈妈。,simplified,这:zhe4|是:shi4|我:wo3|的:de|妈:ma1|妈:ma1|。:,This is my mom.,1
97,以后再讲。,simplified,以:yi3|后:hou4|再:zai4|讲:jiang3|。:,I'll talk about it later.,2
98,我真的不知道。,neutral,我:wo3|真:zhen1|的:de|不:bu4|知:zhi1|道:dao4|。:,I really don't know.,1
99,人人都愿意相信美梦可以成真。,neutral,人:ren2|人:ren2|都:dou1|愿:yuan4|意:yi4|相:xiang1|信:xin4|美:mei3|梦:meng4|可:ke3|以:yi3|成:cheng2|真:zhen1|。:,Everyone wants to believe that dreams can come true.,4
100,十分感谢。,simplified,十:shi2|分:fen1|感:gan3|谢:xie4|。:,Thank you very much.,2
101,我跟父母联络了一下。,simplified,我:wo3|跟:gen1|父:fu4|母:mu3|联:lian2|络:luo4|了:le|一:yi1|下:xia4|。:,I contacted my parents.,4
102,我跟父母讲了留学的事情。,simplified,我:wo3|跟:gen1|父:fu4|母:mu3|讲:jiang3|了:le|留:liu2|学:xue2|的:de|事:shi4|情:qing2|。:,I talked to my parents about studying abroad.,3
103,我把旅费耗光了。,simplified,我:wo3|把:ba3|旅:lv3|费:fei4|耗:hao4|光:guang1|了:le|。:,I ran out of travel money.,6
104,我在旅行中用了地图。,neutral,我:wo3|在:zai4|旅:lv3|行:xing2|中:zhong1|用:yong4|了:le|地:di4|图:tu2|。:,I used a map during the trip.,2
105,我不够钱去旅行。,simplified,我:wo3|不:bu4|够:gou4|钱:qian2|去:qu4|旅:lv3|行:xing2|。:,I don't have enough money to travel.,2
106,他喜欢旅行。我也是。,neutral,他:ta1|喜:xi3|欢:huan1|旅:lv3|行:xing2|。:|我:wo3|也:ye3|是:shi4|。:,He likes to travel. So do I.,2
107,今天是几月几号？,neutral,今:jin1|天:tian1|是:shi4|几:ji3|月:yue4|几:ji3|号:hao4|？:,What is today's date?,1
108,我收到了一张请帖。,simplified,我:wo3|收:shou1|到:dao4|了:le|一:yi1|张:zhang1|请:qing3|帖:tie3|。:,I received an invitation.,7-9
109,她半年后就要出国了。,simplified,她:ta1|半:ban4|年:nian2|后:hou4|就:jiu4|要:yao4|出:chu1|国:guo2|了:le|。:,She will go abroad in six months.,1
110,很少人这么认为。,simplified,很:hen3|少:shao3|人:ren2|这:zhe4|么:me|认:ren4|为:wei2|。:,Very few people think this way.,2
111,这周我一直在工作。,neutral,这:zhe4|周:zhou1|我:wo3|一:yi4|直:zhi2|在:zai4|工:gong1|作:zuo4|。:,I've been working all week.,2
112,我和她外出了几个月。,neutral,我:wo3|和:he2|她:ta1|外:wai4|出:chu1|了:le|几:ji3|个:ge4|月:yue4|。:,I went out with her for a few months.,1
113,明天下午之前我会把它完成。,neutral,明:ming2|天:tian1|下:xia4|午:wu3|之:zhi1|前:qian2|我:wo3|会:hui4|把:ba3|它:ta1|完:wan2|成:cheng2|。:,I will finish it before tomorrow afternoon.,4
114,自己动手真好。,neutral,自:zi4|己:ji3|动:dong4|手:shou3|真:zhen1|好:hao3|。:,It's great to do it yourself.,2
115,那个发现纯属偶然。,simplified,那:na4|个:ge|发:fa1|现:xian4|纯:chun2|属:shu3|偶:ou3|然:ran2|。:,That discovery was purely accidental.,5
116,在英国的时候，我经常看参考书。,simplified,在:zai4|英:ying1|国:guo2|的:de|时:shi2|候:hou4|，:|我:wo3|经:jing1|常:chang2|看:kan4|参:can1|考:kao3|书:shu1|。:,"When I was in the UK, I often read reference books.",2
117,我弟弟会经常彻夜不睡。,simplified,我:wo3|弟:di4|弟:di|会:hui4|经:jing1|常:chang2|彻:che4|夜:ye4|不:bu4|睡:shui4|。:,My brother often stays up all night.,4
118,你不得不制造一些借口。,neutral,你:ni3|不:bu4|得:de2|不:bu4|制:zhi4|造:zao4|一:yi1|些:xie1|借:jie4|口:kou3|。:,You have to come up with some excuses.,3
119,她可能出什么事了。,neutral,她:ta1|可:ke3|能:neng2|出:chu1|什:shen2|么:me|事:shi4|了:le|。:,Something might have happened to her.,2
120,你参加社团活动吗？,simplified,你:ni3|参:can1|加:jia1|社:she4|团:tuan2|活:huo2|动:dong4|吗:ma|？:,Do you participate in club activities?,3
121,我找到那把我一直在找的钥匙了。,simplified,我:wo3|找:zhao3|到:dao4|那:na4|把:ba3|我:wo3|一:yi4|直:zhi2|在:zai4|找:zhao3|的:de|钥:yao4|匙:shi|了:le|。:,I found the key I had been looking for.,7-9
122,我丢了我的伞。,simplified,我:wo3|丢:diu1|了:le|我:wo3|的:de|伞:san3|。:,I lost my umbrella.,5
123,她是他的一切。,neutral,她:ta1|是:shi4|他:ta1|的:de|一:yi1|切:qie4|。:,She is everything to him.,3
124,接电话。,simplified,接:jie1|电:dian4|话:hua4|。:,Answer the phone.,2
125,我在报纸上看到了它。,simplified,我:wo3|在:zai4|报:bao4|纸:zhi3|上:shang4|看:kan4|到:dao4|了:le|它:ta1|。:,I saw it in the newspaper.,2
126,请把它充入我的账户。,simplified,请:qing3|把:ba3|它:ta1|充:chong1|入:ru4|我:wo3|的:de|账:zhang4|户:hu4|。:,Please deposit it into my account.,6
127,雨不停，我们不会出去。,simplified,雨:yu3|不:bu4|停:ting2|，:|我:wo3|们:men|不:bu2|会:hui4|出:chu1|去:qu4|。:,"It's raining continuously, we won't go out.",2
128,这和我那本是同一本书。,simplified,这:zhe4|和:he2|我:wo3|那:na4|本:ben3|是:shi4|同:tong2|一:yi1|本:ben3|书:shu1|。:,This is the same book as mine.,1
129,他们是热爱和平的人。,simplified,他:ta1|们:men|是:shi4|热:re4|爱:ai4|和:he2|平:ping2|的:de|人:ren2|。:,They are people who love peace.,2
130,我觉得你说的是真的。,simplified,我:wo3|觉:jue2|得:de|你:ni3|说:shuo1|的:de|是:shi4|真:zhen1|的:de|。:,I believe what you said is true.,1
131,可以原谅我吗？,simplified,可:ke3|以:yi3|原:yuan2|谅:liang4|我:wo3|吗:ma|？:,Can you forgive me?,6
132,我们没机会赢那些一流选手。,simplified,我:wo3|们:men|没:mei2|机:ji1|会:hui4|赢:ying2|那:na4|些:xie1|一:yi4|流:liu2|选:xuan3|手:shou3|。:,We have no chance of beating those top players.,3
133,他发誓要戒烟。,simplified,他:ta1|发:fa1|誓:shi4|要:yao4|戒:jie4|烟:yan1|。:,He swore to quit smoking.,7-9
134,在明天前完成报告几乎是不可能的。,neutral,在:zai4|明:ming2|天:tian1|前:qian2|完:wan2|成:cheng2|报:bao4|告:gao4|几:ji1|乎:hu1|是:shi4|不:bu4|可:ke3|能:neng2|的:de|。:,It's almost impossible to finish the report before tomorrow.,4
135,他昨天看了一部最有趣的小说。,simplified,他:ta1|昨:zuo2|天:tian1|看:kan4|了:le|一:yi1|部:bu4|最:zui4|有:you3|趣:qu4|的:de|小:xiao3|说:shuo1|。:,He read the most interesting novel yesterday.,4
136,如果可能的话，我想环游世界。,simplified,如:ru2|果:guo3|可:ke3|能:neng2|的:de|话:hua4|，:|我:wo3|想:xiang3|环:huan2|游:you2|世:shi4|界:jie4|。:,"If possible, I would like to travel around the world.",3
137,我是网球俱乐部的会员。,simplified,我:wo3|是:shi4|网:wang3|球:qiu2|俱:ju4|乐:le4|部:bu4|的:de|会:hui4|员:yuan2|。:,I am a member of the tennis club.,5
138,医生，请给这孩子急救。,simplified,医:yi1|生:sheng1|，:|请:qing3|给:gei3|这:zhe4|孩:hai2|子:zi|急:ji2|救:jiu4|。:,"Doctor, please give this child first aid.",3
139,据说山上的天气变化很快。,simplified,据:ju4|说:shuo1|山:shan1|上:shang4|的:de|天:tian1|气:qi4|变:bian4|化:hua4|很:hen3|快:kuai4|。:,It's said that the weather on the mountain changes quickly.,3
140,他后悔在校时没用功读书。,simplified,他:ta1|后:hou4|悔:hui3|在:zai4|校:xiao4|时:shi2|没:mei2|用:yong4|功:gong1|读:du2|书:shu1|。:,He regrets not studying hard while in school.,5
141,我可以用支票付吗？,simplified,我:wo3|可:ke3|以:yi3|用:yong4|支:zhi1|票:piao4|付:fu4|吗:ma|？:,Can I pay by check?,3
142,如果他年轻一点，他将很适合这个职位。,simplified,如:ru2|果:guo3|他:ta1|年:nian2|轻:qing1|一:yi4|点:dian3|，:|他:ta1|将:jiang1|很:hen3|适:shi4|合:he2|这:zhe4|个:ge|职:zhi2|位:wei4|。:,"If he were a bit younger, he would be perfect for this position.",3
143,他给我的工作作出了明确指示。,simplified,他:ta1|给:gei3|我:wo3|的:de|工:gong1|作:zuo4|作:zuo4|出:chu1|了:le|明:ming2|确:que4|指:zhi3|示:shi4|。:,He gave me clear instructions for the job.,3
144,他向权力屈服。,neutral,他:ta1|向:xiang4|权:quan2|力:li4|屈:qu1|服:fu2|。:,He yielded to power.,7-9
145,是在昨天Jake打破了这扇窗。,neutral,是:shi4|在:zai4|昨:zuo2|天:tian1|Jake:|打:da3|破:po4|了:le|这:zhe4|扇:shan4|窗:chuang1|。:,It was yesterday that Jake broke this window.,5
146,今天糟糕透了，所以我准备去喝一杯就直接上床。,simplified,今:jin1|天:tian1|糟:zao1|糕:gao1|透:tou4|了:le|，:|所:suo3|以:yi3|我:wo3|准:zhun3|备:bei4|去:qu4|喝:he1|一:yi1|杯:bei1|就:jiu4|直:zhi2|接:jie1|上:shang4|床:chuang2|。:,"Today has been terrible, so I'm ready to grab a drink and go straight to bed.",5
147,如果没有你，这个世界很孤单。,neutral,如:ru2|果:guo3|没:mei2|有:you3|你:ni3|，:|这:zhe4|个:ge|世:shi4|界:jie4|很:hen3|孤:gu1|单:dan1|。:,This world is very lonely without you.,6
148,我觉得这个网站的构思非常好。,simplified,我:wo3|觉:jue2|得:de|这:zhe4|个:ge|网:wang3|站:zhan4|的:de|构:gou4|思:si1|非:fei1|常:chang2|好:hao3|。:,I think the idea for this website is excellent.,4
149,我觉得这个网站的概念非常好。,simplified,我:wo3|觉:jue2|得:de|这:zhe4|个:ge|网:wang3|站:zhan4|的:de|概:gai4|念:nian4|非:fei1|常:chang2|好:hao3|。:,I think the concept of this website is great.,3
150,啊，我认识这个男人！,simplified,啊:a|，:|我:wo3|认:ren4|识:shi2|这:zhe4|个:ge|男:nan2|人:ren2|！:,"Ah, I know this man!",2
151,待在那儿别动。,neutral,待:dai4|在:zai4|那:na4|儿:er2|别:bie2|动:dong4|。:,Stay there and don't move.,3
152,沿着这条路直走，到第三个红绿灯的地方右转。,simplified,沿:yan2|着:zhe|这:zhe4|条:tiao2|路:lu4|直:zhi2|走:zou3|，:|到:dao4|第:di4|三:san1|个:ge4|红:hong2|绿:lv4|灯:deng1|的:de|地:di4|方:fang1|右:you4|转:zhuan3|。:,Go straight along this road and turn right at the third traffic light.,6
153,他正坐在会议室里。,simplified,他:ta1|正:zheng4|坐:zuo4|在:zai4|会:hui4|议:yi4|室:shi4|里:li3|。:,He is sitting in the conference room.,3
154,等她回来的时候问问她。,simplified,等:deng3|她:ta1|回:hui2|来:lai2|的:de|时:shi2|候:hou4|问:wen4|问:wen4|她:ta1|。:,Ask her when she comes back.,1
155,他说得很大声。,simplified,他:ta1|说:shuo1|得:de2|很:hen3|大:da4|声:sheng1|。:,He spoke very loudly.,2
