id,sentence,script_type
58,我不知道它是从哪里来的。,simplified
59,這個不重要。,traditional
60,哪裡有問題?,traditional
61,不要再把我当成“正常” 人!,neutral
62,所有被发明的都是真的。,simplified
63,感到惊讶、感到惊奇就是明白的开始。,simplified
64,宇宙毫无疑问是无限的。,simplified
65,要变得完美，她就是少了一个缺点。,simplified
66,然而，相反的理论往往也是真的。,simplified
67,我们看东西不是看其实质，而是以我们的主观意识看它们的。,simplified
68,世界就是一个疯子的囚笼。,simplified
69,我叫Jack。,neutral
70,从来就没有徒劳的爱情。,simplified
71,生活就是當你忙著進行你的計劃時總有其他的事情發生。,traditional
72,没有欲望就等于拥有。,simplified
73,聖誕節快樂！,traditional
74,罗马不是一天建成的。,simplified
75,你是从哪个国家来的？,simplified
76,我已经看过这部电影了。,simplified
77,墨西哥有很多贫民窟。,simplified
78,这间房间朝向很好。,simplified
79,你知不知道他们是谁?,simplified
80,你骗人！,simplified
81,他也会说法语。,simplified
82,我会说法语。,simplified
83,我收到了请帖。,simplified
84,你住在哪里？,neutral
85,你记不记得我们认识的那一天？,simplified
86,他住在这里吗？,simplified
87,火车站离这里不远。,simplified
88,火车站在哪里?,simplified
89,正在下雹。,neutral
90,我爱你。,simplified
91,我喜欢旅行。,neutral
92,我很期待去旅游.,neutral
93,我在旅行社工作.,neutral
94,我跟父母住在一起.,neutral
95,他没有孩子。,neutral
96,这是我的妈妈。,simplified
97,以后再讲。,simplified
98,我真的不知道。,neutral
99,人人都愿意相信美梦可以成真。,neutral
100,十分感谢。,simplified
101,我跟父母联络了一下。,simplified
102,我跟父母讲了留学的事情。,simplified
103,我把旅费耗光了。,simplified
104,我在旅行中用了地图。,neutral
105,我不够钱去旅行。,simplified
106,他喜欢旅行。我也是。,neutral
107,今天是几月几号？,neutral
108,我收到了一张请帖。,simplified
109,她半年后就要出国了。,simplified
110,很少人这么认为。,simplified
111,这周我一直在工作。,neutral
112,我和她外出了几个月。,neutral
113,明天下午之前我会把它完成。,neutral
114,自己动手真好。,neutral
115,那个发现纯属偶然。,simplified
116,在英国的时候，我经常看参考书。,simplified
117,我弟弟会经常彻夜不睡。,simplified
118,你不得不制造一些借口。,neutral
119,她可能出什么事了。,neutral
120,你参加社团活动吗？,simplified
121,我找到那把我一直在找的钥匙了。,simplified
122,我丢了我的伞。,simplified
123,她是他的一切。,neutral
124,接电话。,simplified
125,我在报纸上看到了它。,simplified
126,请把它充入我的账户。,simplified
127,雨不停，我们不会出去。,simplified
128,这和我那本是同一本书。,simplified
129,他们是热爱和平的人。,simplified
130,我觉得你说的是真的。,simplified
131,可以原谅我吗？,simplified
132,我们没机会赢那些一流选手。,simplified
133,他发誓要戒烟。,simplified
134,在明天前完成报告几乎是不可能的。,neutral
135,他昨天看了一部最有趣的小说。,simplified
136,如果可能的话，我想环游世界。,simplified
137,我是网球俱乐部的会员。,simplified
138,医生，请给这孩子急救。,simplified
139,据说山上的天气变化很快。,simplified
140,他后悔在校时没用功读书。,simplified
141,我可以用支票付吗？,simplified
142,如果他年轻一点，他将很适合这个职位。,simplified
143,他给我的工作作出了明确指示。,simplified
144,他向权力屈服。,neutral
145,是在昨天Jake打破了这扇窗。,neutral
146,今天糟糕透了，所以我准备去喝一杯就直接上床。,simplified
147,如果没有你，这个世界很孤单。,neutral
148,我觉得这个网站的构思非常好。,simplified
149,我觉得这个网站的概念非常好。,simplified
150,啊，我认识这个男人！,simplified
151,待在那儿别动。,neutral
152,沿着这条路直走，到第三个红绿灯的地方右转。,simplified
153,他正坐在会议室里。,simplified
154,等她回来的时候问问她。,simplified
155,他说得很大声。,simplified
156,差不多两周John的病才好了。,neutral
157,我们必须设法打破这个僵局。,simplified
158,十年后，我们的城市将改变许多。,simplified
159,你咖啡喝得太多了。,neutral
160,我有好几打呢。,neutral
161,我无法想象另一个星球上的生物。,neutral
162,温度计往往低于零度。,simplified
163,要完成实验，三个月太短了。,simplified
164,“这些车是你的吗？”“是的，是我的。”,simplified
165,我叔叔住在学校附近。,simplified
166,去踢足球吧。,neutral
167,合同已经到手了，那就出去庆祝一下吧。,simplified
168,我难以用言语表达我的感情。,simplified
169,我无法治愈心碎。,neutral
170,猫抓住了老鼠。,neutral
171,直到那时，他才意识到他已经上当受骗。,simplified
172,他的医生建议他戒烟。,simplified
173,我爸爸很忙。,neutral
174,他用了一些手段来和Nancy私下交谈。,simplified
175,把这些座位留给老人。,simplified
176,我无法取代她做英语老师。,simplified
177,他们粗心大意，还没意识到危险。,simplified
178,她挥着她的手，直到火车消失在视线之外。,simplified
179,当她发现他们还没有学校，她就办了一个。,simplified
180,谢谢你的答复。,simplified
181,Jack买不起新自行车。,simplified
182,他寻找一切可能的逃生途径。,simplified
183,对严格限制经济的批评蜂拥而来。,simplified
184,这药创造了奇迹。,simplified
185,你最好打消这么可笑的念头。,neutral
186,我看见一个长头发的女生。,simplified
187,外交谈判帮助结束了冲突。,simplified
188,我发现了我爸爸收藏了30年的报纸。,simplified
189,如何克服日元升高是个大问题。,simplified
190,你想走的时候就走吧。,neutral
191,他们在画展上授予了她一等奖。,simplified
192,你可以骑上我的摩托车去遛一圈。,simplified
193,他给我们讲了一个有趣的故事，我们都笑了起来。,simplified
194,如何料理黑鲷：做刺身是最好吃的。,simplified
195,让我们来澄清一下这个问题。,simplified
196,别忘了在你的信上贴张邮票。,simplified
197,我的生意终于走上了正轨。,simplified
198,如果你需要笔的话，我借你一支。,simplified
199,我要回房间了，在那儿我可以学习。,simplified
200,照这样的情况，很抱歉，我不能接受你的盛情邀请。,simplified
201,在一天之内完成它几乎是不可能的。,neutral
202,接下来该采取什么行动就交给你了。,simplified
203,老师给我们布置了家庭作业。,simplified
204,我们看着这孩子玩耍。,simplified
205,你开始学习英语了吗？,simplified
206,它们是瓜。,simplified
207,你走了，我们都会想你的。,simplified
208,电视的优点在于它给体育爱好者提供了更大的方便。,simplified
209,我没有拜访他，因为我感冒了。,simplified
210,乘公交车费时。,simplified
211,由于火车延误，我迟到了。,simplified
212,他还没来。他肯定错过公交车了。,simplified
213,这种款式的帽子现在很流行。,simplified
214,其他的一切都好。,neutral
215,你可以想象在月球上行走吗？,simplified
216,你会溜冰吗？,simplified
217,他有可能赢得比赛。,simplified
218,这件事至关重要。,simplified
219,不要拉我的腿！,neutral
220,我无法相信自己的眼睛。,neutral
221,我去听他的演讲去晚了。,simplified
222,你考虑周到，没有打扰我们。,simplified
223,这件事他铭记于心。,simplified
224,这本书对你来说读起来太难了。,simplified
225,我什么都不想喝。,neutral
226,一块岩石从上面落下。,neutral
227,我头痛。,neutral
228,布什继里根之后当上了总统。,simplified
229,他的努力没有成果。,neutral
230,今天刮冷风。,neutral
231,你在撒谎。,simplified
232,自助者天助。,neutral
233,和你的车比起来，我的车很小。,simplified
234,他很年轻，更重要的是，他很帅。,simplified
235,和她争辩是没用的。,simplified
236,太可惜了！,neutral
237,听到她成功的消息，他很高兴。,simplified
238,男孩们窃窃私语，我知道他们准备做些什么。,simplified
239,我要预订一间6月3日的单人房。,simplified
240,请帮我找一下我的钱包。,simplified
241,她给我讲了一个有趣的故事。,simplified
242,他登上了前往洛杉矶的飞机。,simplified
243,什么时候开始？,neutral
244,他儿子小时候就死于癌症了。,neutral
245,这本书有精美的插图。,simplified
246,她和她妹妹一样亲切。,simplified
247,随着时间的推移，比赛增加了规则以使之更安全。,simplified
248,他看上去是一个十足的绅士。,simplified
249,金子比水重得多。,neutral
250,我们的任务到目前为止很轻松，但从现在开始将会变得很难。,simplified
251,你自己拿蛋糕吃吧。,neutral
252,他给我讲述了他的一生。,simplified
253,事故耽误了我们半小时。,simplified
254,这种秘密总有一天会被揭露的。,simplified
255,我没什么可依靠的了。,neutral
256,我做完我的功课后，就读这本书。,simplified
257,能不能麻烦你告诉我去邻村怎么走？,simplified
258,她住在罗素广场56号。,simplified
259,我们有很多听众。,simplified
260,请写信告诉我你们学校的情况。,simplified
261,看见新鲜龙虾，我有了食欲。,simplified
262,最后三周，Jim一直试图带我出去吃饭。,simplified
263,这狗跑得多快啊！,neutral
264,你上班迟到了。,simplified
265,护士会告诉你怎么做。,simplified
266,不要相信一个你一点都不了解他过去的人。,neutral
267,下周我去温哥华看我妹妹。,simplified
268,罗杰斯先生和史密斯小姐昨天宣布订婚。,simplified
269,你多久后需要它？,neutral
270,诚信是一种重要的美德。,simplified
271,鲍勃第一个到达终点线。,simplified
272,这是我见过最美的景色了。,simplified
273,科学和数学我都喜欢。,simplified
274,我们的计划从一开始就出错了。,simplified
275,她不喜欢我说话的方式。,simplified
276,他请求她给予优待。,simplified
277,能不能请你把盐递给我？,simplified
278,他熟睡着。,neutral
279,在这种天气下，我最好是待在家里而不要出去。,neutral
280,你不这么认为吗？,simplified
281,Tom否认偷了钱。,simplified
282,我想减肥。,neutral
283,我听到这个消息很吃惊。,simplified
284,她一直和她的兄弟争吵。,neutral
285,只有为数不多的几个电视节目值得关注。,simplified
286,我不明白为什么你这么批评他。,simplified
287,你想再来杯酒吗？,simplified
288,他努力工作。,neutral
289,自由是有代价的。,neutral
290,几分钟后，电话响了。,simplified
291,月球是地球唯一的卫星。,simplified
292,他和他的姐妹们目前都住在东京。,simplified
293,孩子们洗了他们的脚。,simplified
294,我的计划是参观苏格兰的古堡。,simplified
295,他是哈佛大学的生物学教授。,simplified
296,我期待听到你在这件事上的想法 。,neutral
297,他长大了会成为一名医生。,simplified
298,银行对风险客户收取较高的贷款利息。,simplified
299,你为什么说要去公园散步？,simplified
300,观众人数庞大。,simplified
301,写下你名字的大写字母。,simplified
302,我不太明白他说什么。,simplified
303,我对外籍员工没有偏见。,simplified
304,我明早八点来接你。,simplified
305,我相信他会信守诺言。,simplified
306,我们看见池里有很多活鱼。,simplified
307,用鼻子顶住一个球很困难。,simplified
308,您学习吗？,simplified
309,他有很多历史书籍。,simplified
310,所有迹象表明她好起来了。,simplified
311,即使他们有很好的酒单，我也不想在这里用餐。,simplified
312,建筑物在地震中摇晃。,simplified
313,由医生来决定某人何时该死是对的吗？,simplified
314,谁来为风险投资提供资金？,simplified
315,他很快便与小区里新来的男孩交上了朋友。,simplified
316,他的政权必定会崩溃。,simplified
317,小偷迅速地窜入了人群。,simplified
318,我上周不忙。,neutral
319,游泳使腿部强健。,neutral
320,现在的人教育程度比以前高得多。,simplified
321,我不能让自己做这样的事。,simplified
322,接受对方的准则就是给予他权力。,simplified
323,我将确保你们在第一年后有一个增长。,simplified
324,他对日本的历史非常感兴趣。我们很惊讶他在这方面的丰富知识。,simplified
325,把你的自行车放好。,simplified
326,昨天是Alice去了演唱会。,neutral
327,我们去了林中散步。,simplified
328,汽笛声响起，船开始慢慢地驶离港口。,simplified
329,孩子们应该每天喝牛奶。,simplified
330,这张照片让我想起童年的快乐时光。,simplified
331,简而言之，我不同意。,simplified
332,但是他不常微笑。,neutral
333,要去博物馆，你就得乘那辆车。,simplified
334,除非雨停了，我们才会出去。,simplified
335,我爸爸对我的爱和照顾不比我妈妈少。,simplified
336,他试图游过河，但是失败了。,simplified
337,告诉我你对湘南做了什么。,simplified
338,我已经受够了这个计划。,simplified
339,他不再是以前那个他。,neutral
340,我发现他在花园里干活。,simplified
341,毕加索是个有名的艺术家。,simplified
342,这是一个例外。,neutral
343,他说他饿了。,simplified
344,生活很困难，但我更坚强。,simplified
345,这个班有多少男生？,neutral
346,这一消息证实了我的怀疑。,simplified
347,看那座被雪覆盖的山。,neutral
348,她没有任何亲戚朋友照顾她。,simplified
349,你的妈妈会开车吗？,simplified
350,现在的孩子认为解决任何生活问题都像重新开始一个电脑游戏那么简单。,simplified
351,我们也去了庙里。,simplified
352,我想要去伦敦。,simplified
353,你其实没必要带伞。,simplified
354,这箱子是空的，里面什么也没有。,neutral
355,他大半生都住在国外。,simplified
356,情况一天比一天差。,neutral
357,这架飞机一次可以携带40名乘客。,simplified
358,你们对外语感兴趣吗？,simplified
359,没有人跑在他前面。,neutral
360,如果我现在有100万日元，我会买辆车。,simplified
361,你相信上帝吗？,simplified
362,在某种程度上你是对的，但我还是有疑问。,simplified
363,我们终于登上了富士山山顶。,simplified
364,他们午饭吃了三明治。,simplified
365,我也想要和你身上那件同样的外套。,simplified
366,你觉得她最想要什么纪念品？,simplified
367,做你想做的。,neutral
368,这些食物看起来很好吃。,simplified
369,她的故事带我回到了童年。,simplified
370,我不知道他什么时候从法国回来。,simplified
371,我有一个大家庭。,neutral
372,明早九点给我打电话。,simplified
373,这不是我的包。,neutral
374,我错拿了你的雨伞。,simplified
375,你怎么拼“pretty”？,neutral
376,开车真的非常简单。,simplified
377,如果你没有其它可说的，那对我说“嗨，你怎么样？”就毫无意义。,simplified
378,会议室正在使用中。,simplified
379,检查一下！,simplified
380,他尝了芝士蛋糕。,neutral
381,她无法直视我的脸。,simplified
382,睡眠是最大的小偷，它偷了我们一半的生命。,simplified
383,我对摄影感兴趣。,simplified
384,我买了一盏古老的灯。,simplified
385,你可以坐船去那。,neutral
386,说和做是两码事。,simplified
387,他说得好像知道这个秘密一样。,simplified
388,他拿到了现代文学的文凭。,simplified
389,他不蠢。,neutral
390,爱，就是一个人把另一个人的心揉碎的过程。,simplified
391,他们生活得很幸福。,simplified
392,她有很多事要做。,neutral
393,我直视他的眼睛。,simplified
394,全体销售人员通宵达旦地工作了一周。,simplified
395,这个诗人兼学者死了。,simplified
396,他简单地阐述了他的理由。,simplified
397,你还需要茶吗？,simplified
398,有效期到1997年3月31日为止。,simplified
399,我们去滑雪怎么样？,simplified
400,我们采取了强有力的预防措施。,simplified
401,他在森林中迷了路。,neutral
402,不要把我们的计划告诉任何人。,simplified
403,Tom躲在桌子底下。,neutral
404,他告诉了我们许多经验教训。,simplified
405,这房子里似乎在办派对。,neutral
406,我会教你怎么开车。,simplified
407,威尼斯的圣马可广场在夏季总是挤满了游客。,simplified
408,我们必须保持家庭传统。,simplified
409,他能游得很快。,neutral
410,一个神圣的仪式在庄严的庙宇中举行。,simplified
411,我厌倦了我的工作。,simplified
412,你们周日送货吗？,simplified
413,我想再来一杯啤酒。,simplified
414,他可能迷路了。,neutral
415,他出卖了我。,simplified
416,天冷得足以让湖结冰。,simplified
417,我不知道，也不想知道。,neutral
418,去年她离开了日本。,simplified
419,这意味着其他人只能从听你说的话来了解你和喜欢你。,simplified
420,今晚我将在朋友家过夜。,simplified
421,我需要购买新的镜架。,simplified
422,我弟弟手里拿着一个摄像机。,simplified
423,我们在这里下车吧。,simplified
424,"Kate, 坐吧。",neutral
425,我妹妹21岁，是个大学生。,simplified
426,你会发现难以满足她。,simplified
427,除非我死了！,neutral
428,我尊敬长辈。,simplified
429,有什么比失明更不幸的呢？,neutral
430,他们的合同在这个月底到期。,simplified
431,帮我一下。,neutral
432,爱都是嫉妒的。,simplified
433,仅三分之一的成员出席了会议。,simplified
434,让我看看那些照片。,simplified
435,厕所冲水不正常。,simplified
436,我们的孩子喜欢狗，但我更喜欢猫。,simplified
437,我欠她10美元。,neutral
438,我们必须考虑到他很年轻。,simplified
439,她一到，我们就开始。,simplified
440,我挑不出他的毛病。,neutral
441,你能为我腾出几分钟时间吗?,simplified
442,2月我们有个短期休假。,simplified
443,你有义务还债。,simplified
444,她没有辜负我们的期望。,simplified
445,停车场是免费的。,simplified
446,他父母对他期望过高。,neutral
447,问题是我们如何应付目前的困难。,simplified
448,她戴上了她的帽子。,neutral
449,我想看看。,neutral
450,你在听我说吗？,simplified
451,孩子在这条河里游泳太危险了。,simplified
452,报纸、杂志和新闻广播讲述着世界上正在发生的事。,simplified
453,每年有成千上万的外国人访问日本。,simplified
454,这被认为是一件大事。,simplified
455,如果你快一点，还能赶上他。,neutral
456,老人试图游5公里。,simplified
457,除了雨天，我都是骑车去上班的。,simplified
458,她原谅了男孩的粗鲁。,simplified
459,病人随时会死。,neutral
460,是它的两倍大。,neutral
461,一个人要为他的行为负责。,simplified
462,你会代替我去派对吗？,simplified
463,她放下手中的针线活，并站了起来。,simplified
464,这是找零。,neutral
465,他是日本最伟大的艺术家之一。,simplified
466,父亲常常在空闲时间读侦探小说。,simplified
467,我通常在晚上洗澡。,neutral
468,这对他没有影响。,neutral
469,他每天去学校学习。,simplified
470,妈妈为我准备了午饭。,simplified
471,你能再给我点茶吗？,simplified
472,一些人通过阅读来放松。,simplified
473,整个夏天，我们在那里过得很愉快。,simplified
474,有了坚定的目标，你会做得很好。,simplified
475,我厌倦了他的老笑话。,simplified
476,她的眼里涌出了泪水。,neutral
477,公园里有很多人。,neutral
478,第一排的座位5美元。,neutral
479,你更喜欢哪个，这个还是那个？,neutral
480,我小时候常常独自玩耍。,neutral
481,这是去牛津大学的车吗？,simplified
482,我们将于下周日结婚。,simplified
483,你觉得这件毛衣怎么样？,simplified
484,小丑做了个鬼脸。,simplified
485,她下周日回家，也就是10号。,neutral
486,我们的生活不是由物质，而是由精神来下定义的。,simplified
487,我们有你的尺寸，但是没有那个颜色。,simplified
488,我赚钱养家。,simplified
489,在这儿等到他回来为止。,simplified
490,你不应该在学校大楼里奔跑。,simplified
491,我们国家不缺石油。,simplified
492,他被选为市长。,simplified
493,这男人和他妻子互相帮助。,neutral
494,爸爸今天很不耐烦。,simplified
495,那个学生跑得很快，不是吗？,simplified
496,你是我的阳光。,simplified
497,这音乐值得听许多次。,simplified
498,听到这个让我感觉热血沸腾。,simplified
499,许多人在工业城市工作。,simplified
500,严重吗？,simplified
501,物价上涨了。,simplified
502,那栋灰色的大楼吗？,simplified
503,这首歌让我想家了。,simplified
504,你该戒烟戒酒了。,simplified
505,爸爸乘早上7点的地铁去上班。,simplified
506,我认识史密斯先生有好多年了。,simplified
507,我不会说法语，也不会说德语。,simplified
508,我们按例处罚了他。,simplified
509,老实说，我不喜欢他。,simplified
510,要掌握法语一点都不容易。,simplified
511,我的房间号是多少？,simplified
512,过河拆桥。,simplified
513,油墨快没了。,neutral
514,老人坐了下来。,simplified
515,他出国留学了。,simplified
516,我用两千日元买了这本书。,simplified
517,这部电影为她赢得了人气。,simplified
518,她给客人看了她的宝宝。,simplified
519,他很快就会回来的。,simplified
520,这只是偶发事件。,simplified
521,他进来的同时，铃响了。,simplified
522,据说他爸爸在外国去世了。,simplified
523,消防车到达之前，房子就全烧了。,simplified
524,我没见过也没听过这样的事。,simplified
525,你支持还是反对堕胎？,neutral
526,Ken七月底要去美国了。,simplified
527,你的学校在这个城市吗？,simplified
528,最后她没有来。,simplified
529,你叔叔让你开他的车了吗？,simplified
530,昨晚我领居家着火了。,simplified
531,你的提议值得考虑。,simplified
532,她现在正待在她叔叔家。,simplified
533,你对女人有一套。,neutral
534,我身负一个重要的任务。,simplified
535,着火了！快跑啊！,neutral
536,好习惯是从小养成的。,simplified
537,我们偶然碰到了她。,simplified
538,祝你旅途愉快。,neutral
539,我开门的时候弄坏了锁。,simplified
540,我有两个儿子，一个在东京，另一个在名古屋。,simplified
541,她是什么时候出生的？,neutral
542,你现在好点了吗？,simplified
543,我胃痛。,neutral
544,一些同学看见我给了他巧克力。,simplified
545,许多词是根据拼写来发音的，不过有些不是。,simplified
546,国际货币基金组织不考虑再借款给该国。,simplified
547,因为我想成为翻译。,simplified
548,乡间有很多树。,simplified
549,道路结冰导致了很多起事故。,simplified
550,迟做总比不做好。,simplified
551,你乘飞机还是乘火车去？,simplified
552,我洗完碗后看了电视。,simplified
553,这里允许拍照吗？,simplified
554,他是非不分。,neutral
555,数据表明年轻人抽烟的现象没有减少。,simplified
556,奈良是个非常古老的城市。,neutral
557,她迷路了，紧接着天开始下雨了。,simplified
558,她认为计划很好，但不可行。,simplified
559,我们为表演者鼓掌。,simplified
560,我在找关于古罗马历史的书。,simplified
561,我没朋友帮我。,neutral
562,我不想等那么久。,neutral
563,他的忠告总是很明智。,simplified
564,我们都期待看到你和你的家人。,simplified
565,这是这个诗人出生的村子。,simplified
566,让窗子关着。,simplified
567,他的故事一部分是真的。,neutral
568,他是美国人。,simplified
569,史密斯夫妇现在分居了。,simplified
570,我们吃面包夹黄油。,simplified
571,她不会乘飞机因为害怕坠机。,simplified
572,你成功与否取决于你自身的努力。,simplified
573,他受邀做俱乐部的主席。,neutral
574,知足常乐。,neutral
575,今晚你可以在他家联络到他。,simplified
576,你工作太努力了。,neutral
577,得不到的东西就最想得到。,simplified
578,学校8点半开始上课。,simplified
579,这个月底前，我们必须交报告。,simplified
580,他这个时候该到了。,simplified
581,我很感激你在我生病的时候照顾我。,simplified
582,很难说明天的天气将会怎样。,simplified
583,他丢了块肉给一条狗。,simplified
584,我会给你开个药方。,simplified
585,不要探听别人的事。,neutral
586,纽约市的人口有多少？,simplified
587,天知道他去哪儿了。,neutral
588,她在一棵树下坐着。,simplified
589,我的一个叔叔给我了一些有用的建议。,simplified
590,她很想要一条新的连衣裙。,simplified
591,日本人放弃了战争。,neutral
592,控制一个班级需要你做老师的所有技能。,simplified
593,我想知道这个冬天在我们的城市会不会下雪。,simplified
594,他弟弟是个有名的足球选手。,neutral
595,铃响了。,simplified
596,响了。,neutral
597,她的悲伤无法言喻。,neutral
598,我肯定你会喜欢我们今晚的菜肴。,simplified
599,我能问一些问题吗？,simplified
600,我期待很快就能收到你的信。,neutral
601,他在澳大利亚长大。,simplified
602,我弟弟没我两年前高。,neutral
603,他一直很担心他的女儿。,neutral
604,难怪她表示不想再见到他了。因为他们分手了。,simplified
605,他的化学很差。,simplified
606,教堂位于山脚。,neutral
607,在公车上，一个陌生人和我说了话。,simplified
608,我很钦佩他的才干。,simplified
609,我猜想你可能是对的。,neutral
610,老师不可能说过这样的事。,simplified
611,失之毫厘，谬之千里。,simplified
612,今天我头痛欲裂。,neutral
613,退休后他的收入少了一半。,neutral
614,她答应几时见他？,simplified
615,我对你的厚颜无耻感到惊讶。,simplified
616,她太放任她的孩子们了。,simplified
617,年轻人应该尊敬老人。,simplified
618,他不打算买一个摄像机。,simplified
619,他在城市里一直受到噪音或者其他的干扰。,simplified
620,他们的旅行因为火车延期了。,simplified
621,Steve看上去很高兴。,simplified
622,她去过巴黎。,neutral
623,我看见书桌上有朵花。,simplified
624,我头撞到了门，肿了一块。,simplified
625,你必须马上开始。,simplified
626,我们在下个加油站停一下。,simplified
627,你做了什么？,neutral
628,舞台上有著名音乐家吗？,simplified
629,请你把冷气调高点。,simplified
630,这不是我喜欢的类型。,simplified
631,我觉得你的工作可以。,simplified
632,我还有其他选择吗？,simplified
633,开门的时候我把锁弄坏了。,simplified
634,她什么时候生的？,neutral
635,我胃疼。,neutral
636,一些同学看到我给他巧克力了。,simplified
637,这孩子能数到20。,neutral
638,这场秀棒极了，但是门票太贵了。,simplified
639,火车因大雪被耽搁了。,simplified
640,这只梨闻上去很香。,simplified
641,“你想再来点咖啡吗？”“不，谢谢。我够了。”,simplified
642,请把你们的全盘计划告诉我。,simplified
643,“我爸爸不喝酒。”“我爸爸也不喝。”,neutral
644,上个月，我们20岁的女儿生了个女孩。,simplified
645,他们坚持让他走。,simplified
646,我一直忙于写一部短篇小说。,simplified
647,我的工作是洗碗。,neutral
648,我想坐在无烟区。,neutral
649,这辆车保养起来很贵。,simplified
650,物极必反。,neutral
651,如果我是你，我会在这种困难的情况下做同样的事。,simplified
652,让我试试。,simplified
653,他不惜用私人时间来工作。,simplified
654,会议在9点结束了。,simplified
655,你想要杯果汁吗？,simplified
656,巨大的柱子遮住了视线，让人看不到湖。,simplified
657,欢迎回家。,neutral
658,你只要在这里写下你的姓名和地址就行了。,simplified
659,这是湖的最深处。,simplified
660,我们整个夏天都和他们待在一起。,simplified
661,在非洲找不到野生的老虎。,neutral
662,我们给Robert取了个绰号叫“Bob”。,simplified
663,那个穿棕色大衣的女人是谁？,simplified
664,我喝了杯咖啡来保持清醒。,simplified
665,你可能是对的，但我和你意见相反。,simplified
666,我们同意了第二天一早开始。,simplified
667,我会帮你应急处理一下。,simplified
668,这家店从9点开到18点。,neutral
669,你知道从火车站到市政府有多远？,simplified
670,你知道音乐家什么时候来这儿吗？,simplified
671,他在气头上，说了所有他想说的话就回家了。,simplified
672,我总是在离手不远的地方放一本字典。,simplified
673,树上有些苹果，不是吗？,simplified
674,你想要什么？,neutral
675,Ann在黑板上写了些什么。,simplified
676,Jane正要离开家。,simplified
677,他是营销部的负责人。,simplified
678,没有水，我们无法生存。,simplified
679,我希望如此。,neutral
680,我还了从图书馆借的书，又借了些新的。,simplified
681,我每天早上6点叫醒他。,neutral
682,天日渐回暖。,simplified
683,现在他应该已经到了。,simplified
684,我们很高兴今晚能见到大家。,simplified
685,彼得是一个利他主义的游戏玩家，他会把东西给需要的人，而不是为一己之私利出售。,simplified
686,这是我们的荣幸。,simplified
687,我登上去伦敦的火车。,simplified
688,请不要做任何有损松野家族名声的事！,simplified
689,我妹妹每周上两次钢琴课。,simplified
690,所有苹果树都被砍倒了。,simplified
691,他把头发剪短了。,simplified
692,面对巨大的困难，他成功了。,neutral
693,你已经见过史密斯先生了吗？,simplified
694,Ann是啦啦队队长。,simplified
695,他和班上其他男生一样聪明。,simplified
696,你读给我听的时候，我就可以做缝纫了。,simplified
697,我们尽情在湖里游泳。,simplified
698,我不同意你的看法。,neutral
699,种瓜得瓜，种豆得豆。,neutral
700,自行车从右侧超过汽车是不合法的。,simplified
701,大好的前途摆在他面前。,neutral
702,这个房间里有个电视机。,simplified
703,今天天气很好。,neutral
704,有些人喜欢运动，有些人不喜欢。,simplified
705,没人知道那机器长什么样子。,simplified
706,8月份没课。,simplified
707,你能猜到我有什么吗？,simplified
708,你的笔比我的好。,neutral
709,为什么不问问你老师的建议呢？,simplified
710,把你的名字用大写写下来。,simplified
711,花园被木栅栏围了起来。,simplified
712,这将是你最后一次被欺骗了。,simplified
