id,sentence,script_type,char_pinyin_pairs
136,如果可能的话，我想环游世界。,simplified,如:ru2|果:guo3|可:ke3|能:neng2|的:de|话:hua4|，:|我:wo3|想:xiang3|环:huan2|游:you2|世:shi4|界:jie4|。:
137,我是网球俱乐部的会员。,simplified,我:wo3|是:shi4|网:wang3|球:qiu2|俱:ju4|乐:le4|部:bu4|的:de|会:hui4|员:yuan2|。:
138,医生，请给这孩子急救。,simplified,医:yi1|生:sheng1|，:|请:qing3|给:gei3|这:zhe4|孩:hai2|子:zi|急:ji2|救:jiu4|。:
139,据说山上的天气变化很快。,simplified,据:ju4|说:shuo1|山:shan1|上:shang4|的:de|天:tian1|气:qi4|变:bian4|化:hua4|很:hen3|快:kuai4|。:
140,他后悔在校时没用功读书。,simplified,他:ta1|后:hou4|悔:hui3|在:zai4|校:xiao4|时:shi2|没:mei2|用:yong4|功:gong1|读:du2|书:shu1|。:
141,我可以用支票付吗？,simplified,我:wo3|可:ke3|以:yi3|用:yong4|支:zhi1|票:piao4|付:fu4|吗:ma|？:
142,如果他年轻一点，他将很适合这个职位。,simplified,如:ru2|果:guo3|他:ta1|年:nian2|轻:qing1|一:yi4|点:dian3|，:|他:ta1|将:jiang1|很:hen3|适:shi4|合:he2|这:zhe4|个:ge|职:zhi2|位:wei4|。:
143,他给我的工作作出了明确指示。,simplified,他:ta1|给:gei3|我:wo3|的:de|工:gong1|作:zuo4|作:zuo4|出:chu1|了:le|明:ming2|确:que4|指:zhi3|示:shi4|。:
144,他向权力屈服。,neutral,他:ta1|向:xiang4|权:quan2|力:li4|屈:qu1|服:fu2|。:
145,是在昨天Jake打破了这扇窗。,neutral,是:shi4|在:zai4|昨:zuo2|天:tian1|Jake:|打:da3|破:po4|了:le|这:zhe4|扇:shan4|窗:chuang1|。:
146,今天糟糕透了，所以我准备去喝一杯就直接上床。,simplified,今:jin1|天:tian1|糟:zao1|糕:gao1|透:tou4|了:le|，:|所:suo3|以:yi3|我:wo3|准:zhun3|备:bei4|去:qu4|喝:he1|一:yi1|杯:bei1|就:jiu4|直:zhi2|接:jie1|上:shang4|床:chuang2|。:
147,如果没有你，这个世界很孤单。,neutral,如:ru2|果:guo3|没:mei2|有:you3|你:ni3|，:|这:zhe4|个:ge|世:shi4|界:jie4|很:hen3|孤:gu1|单:dan1|。:
148,我觉得这个网站的构思非常好。,simplified,我:wo3|觉:jue2|得:de|这:zhe4|个:ge|网:wang3|站:zhan4|的:de|构:gou4|思:si1|非:fei1|常:chang2|好:hao3|。:
149,我觉得这个网站的概念非常好。,simplified,我:wo3|觉:jue2|得:de|这:zhe4|个:ge|网:wang3|站:zhan4|的:de|概:gai4|念:nian4|非:fei1|常:chang2|好:hao3|。:
150,啊，我认识这个男人！,simplified,啊:a|，:|我:wo3|认:ren4|识:shi2|这:zhe4|个:ge|男:nan2|人:ren2|！:
151,待在那儿别动。,neutral,待:dai4|在:zai4|那:na4|儿:er2|别:bie2|动:dong4|。:
152,沿着这条路直走，到第三个红绿灯的地方右转。,simplified,沿:yan2|着:zhe|这:zhe4|条:tiao2|路:lu4|直:zhi2|走:zou3|，:|到:dao4|第:di4|三:san1|个:ge4|红:hong2|绿:lv4|灯:deng1|的:de|地:di4|方:fang1|右:you4|转:zhuan3|。:
153,他正坐在会议室里。,simplified,他:ta1|正:zheng4|坐:zuo4|在:zai4|会:hui4|议:yi4|室:shi4|里:li3|。:
154,等她回来的时候问问她。,simplified,等:deng3|她:ta1|回:hui2|来:lai2|的:de|时:shi2|候:hou4|问:wen4|问:wen4|她:ta1|。:
155,他说得很大声。,simplified,他:ta1|说:shuo1|得:de2|很:hen3|大:da4|声:sheng1|。:
156,差不多两周John的病才好了。,neutral,差:cha4|不:bu|多:duo1|两:liang3|周:zhou1|John:|的:de|病:bing4|才:cai2|好:hao3|了:le|。:
157,我们必须设法打破这个僵局。,simplified,我:wo3|们:men|必:bi4|须:xu1|设:she4|法:fa3|打:da3|破:po4|这:zhe4|个:ge|僵:jiang1|局:ju2|。:
158,十年后，我们的城市将改变许多。,simplified,十:shi2|年:nian2|后:hou4|，:|我:wo3|们:men|的:de|城:cheng2|市:shi4|将:jiang1|改:gai3|变:bian4|许:xu3|多:duo1|。:
159,你咖啡喝得太多了。,neutral,你:ni3|咖:ka1|啡:fei1|喝:he1|得:de2|太:tai4|多:duo1|了:le|。:
160,我有好几打呢。,neutral,我:wo3|有:you3|好:hao3|几:ji3|打:da3|呢:ne|。:
161,我无法想象另一个星球上的生物。,neutral,我:wo3|无:wu2|法:fa3|想:xiang3|象:xiang4|另:ling4|一:yi2|个:ge4|星:xing1|球:qiu2|上:shang4|的:de|生:sheng1|物:wu4|。:
162,温度计往往低于零度。,simplified,温:wen1|度:du4|计:ji4|往:wang3|往:wang3|低:di1|于:yu2|零:ling2|度:du4|。:
163,要完成实验，三个月太短了。,simplified,要:yao4|完:wan2|成:cheng2|实:shi2|验:yan4|，:|三:san1|个:ge4|月:yue4|太:tai4|短:duan3|了:le|。:
164,“这些车是你的吗？”“是的，是我的。”,simplified,“:|这:zhe4|些:xie1|车:che1|是:shi4|你:ni3|的:de|吗:ma|？:|”:|“:|是:shi4|的:de|，:|是:shi4|我:wo3|的:de|。:|”:
165,我叔叔住在学校附近。,simplified,我:wo3|叔:shu1|叔:shu1|住:zhu4|在:zai4|学:xue2|校:xiao4|附:fu4|近:jin4|。:
166,去踢足球吧。,neutral,去:qu4|踢:ti1|足:zu2|球:qiu2|吧:ba|。:
167,合同已经到手了，那就出去庆祝一下吧。,simplified,合:he2|同:tong2|已:yi3|经:jing1|到:dao4|手:shou3|了:le|，:|那:na4|就:jiu4|出:chu1|去:qu4|庆:qing4|祝:zhu4|一:yi1|下:xia4|吧:ba|。:
168,我难以用言语表达我的感情。,simplified,我:wo3|难:nan2|以:yi3|用:yong4|言:yan2|语:yu3|表:biao3|达:da2|我:wo3|的:de|感:gan3|情:qing2|。:
169,我无法治愈心碎。,neutral,我:wo3|无:wu2|法:fa3|治:zhi4|愈:yu4|心:xin1|碎:sui4|。:
170,猫抓住了老鼠。,neutral,猫:mao1|抓:zhua1|住:zhu4|了:le|老:lao3|鼠:shu3|。:
171,直到那时，他才意识到他已经上当受骗。,simplified,直:zhi2|到:dao4|那:na4|时:shi2|，:|他:ta1|才:cai2|意:yi4|识:shi2|到:dao4|他:ta1|已:yi3|经:jing1|上:shang4|当:dang4|受:shou4|骗:pian4|。:
172,他的医生建议他戒烟。,simplified,他:ta1|的:de|医:yi1|生:sheng1|建:jian4|议:yi4|他:ta1|戒:jie4|烟:yan1|。:
173,我爸爸很忙。,neutral,我:wo3|爸:ba4|爸:ba4|很:hen3|忙:mang2|。:
174,他用了一些手段来和Nancy私下交谈。,simplified,他:ta1|用:yong4|了:le|一:yi1|些:xie1|手:shou3|段:duan4|来:lai2|和:he2|Nancy:|私:si1|下:xia4|交:jiao1|谈:tan2|。:
175,把这些座位留给老人。,simplified,把:ba3|这:zhe4|些:xie1|座:zuo4|位:wei4|留:liu2|给:gei3|老:lao3|人:ren2|。:
176,我无法取代她做英语老师。,simplified,我:wo3|无:wu2|法:fa3|取:qu3|代:dai4|她:ta1|做:zuo4|英:ying1|语:yu3|老:lao3|师:shi1|。:
177,他们粗心大意，还没意识到危险。,simplified,他:ta1|们:men|粗:cu1|心:xin1|大:da4|意:yi4|，:|还:hai2|没:mei2|意:yi4|识:shi2|到:dao4|危:wei1|险:xian3|。:
178,她挥着她的手，直到火车消失在视线之外。,simplified,她:ta1|挥:hui1|着:zhe|她:ta1|的:de|手:shou3|，:|直:zhi2|到:dao4|火:huo3|车:che1|消:xiao1|失:shi1|在:zai4|视:shi4|线:xian4|之:zhi1|外:wai4|。:
179,当她发现他们还没有学校，她就办了一个。,simplified,当:dang1|她:ta1|发:fa1|现:xian4|他:ta1|们:men|还:hai2|没:mei2|有:you3|学:xue2|校:xiao4|，:|她:ta1|就:jiu4|办:ban4|了:le|一:yi2|个:ge4|。:
