id,char,codepoint,pinyins_tone3,pinyins_display,gloss_en,examples
25,丘,U+4E18,qiu1,qiū,surname Qiu,一丘之貉|下丘腦|下丘脑
26,丙,U+4E19,bing3|bing4,bǐng|bìng,third of the ten Heavenly Stems 十天干[shi2 tian1 gan1],丙三醇|丙二醇|丙午
27,业,U+4E1A,ye4,yè,surname Ye,七大工业国集团|三无企业|三资企业
28,丛,U+4E1B,cong2,cóng,cluster,人丛|丛冢|丛书
29,东,U+4E1C,dong1,dōng,surname Dong,一东一西|三十年河东，三十年河西|上海浦东发展银行
30,丝,U+4E1D,si1,sī,silk,一丝一毫|一丝不挂|一丝不苟
31,丞,U+4E1E,cheng2|sheng4|zheng1|zheng3,chéng|shèng|zhēng|zhěng,deputy,丞相|楊丞琳|杨丞琳
32,丟,U+4E1F,diu1,diū,to lose,一丟丟|丟三落四|丟下
33,丠,U+4E20,qiu1,qiū,old variant of 丘[qiu1],
34,両,U+4E21,liang3,liǎng,Japanese variant of 兩|两[liang3],
35,丢,U+4E22,diu1,diū,to lose,一丢丢|丢三落四|丢下
36,丣,U+4E23,you3,yǒu,old variant of 酉[you3],
37,两,U+4E24,liang3,liǎng,two,一个头两个大|一刀两断|一分钱两分货
38,严,U+4E25,yan2,yán,surname Yan,嘴不严|嘴严|严了眼儿
39,並,U+4E26,bing4|ban4|bang4,bìng|bàn|bàng,and,一並|三江並流|並不
40,丧,U+4E27,sang4|sang1,sàng|sāng,mourning,凶丧|出丧|哭丧
41,丨,U+4E28,gun3,gǔn,radical in Chinese characters (Kangxi radical 2),
42,丩,U+4E29,jiu1,jiū,old variant of 糾|纠[jiu1],
43,个,U+4E2A,ge4|ge3|gan4,gè|gě|gàn,used in 自個兒|自个儿[zi4 ge3 r5],一个|一个中国政策|一个人
44,丫,U+4E2B,ya1,yā,fork,丫子|丫巴兒|丫巴儿
45,丬,U+4E2C,qiang2,qiáng,"""piece of wood"" radical in Chinese characters (Kangxi radical 90), mirror image of 片[pian4]",
46,中,U+4E2D,zhong1|zhong4,zhōng|zhòng,(bound form) China; Chinese,一中一台|一中原則|一中原则
47,丮,U+4E2E,ji3,jǐ,to catch,
48,丯,U+4E2F,jie4,jiè,,
49,丰,U+4E30,feng1,fēng,luxuriant,丰姿|丰采|五谷丰登
50,丱,U+4E31,guan4|kuang4,guàn|kuàng,two tufts of hair,
51,串,U+4E32,chuan4|guan4|quan4,chuàn|guàn|quàn,to string together,一連串|一连串|串串
52,丳,U+4E33,chan3|chuan4,chǎn|chuàn,skewer,
53,临,U+4E34,lin2,lín,to face,事到临头|五福临门|亚临界
54,丵,U+4E35,zhuo2,zhuó,thick grass,
55,丶,U+4E36,zhu3,zhǔ,"""dot"" radical in Chinese characters (Kangxi radical 3), aka 點|点[dian3]",
56,丷,U+4E37,ba1,bā,"""eight"" component in Chinese characters",
57,丸,U+4E38,wan2,wán,ball,丸劑|丸剂|丸子
58,丹,U+4E39,dan1,dān,red,不丹|丹佛|丹參
59,为,U+4E3A,wei4|wei2,wèi|wéi,as (in the capacity of),一之为甚|一分为二|一吐为快
60,主,U+4E3B,zhu3|zhu4,zhǔ|zhù,owner,UP主|一家之主|三民主義
61,丼,U+4E3C,jing3|dan3,jǐng|dǎn,"(Tw) bowl of steamed rice with other food on top (loanword from Japanese ""donburi"")",親子丼|亲子丼
62,丽,U+4E3D,li4|li2,lì|lí,Korea,亮丽|伊丽莎白|佳丽
63,举,U+4E3E,ju3,jǔ,variant of 舉|举[ju3],一举|一举一动|一举两得
64,丿,U+4E3F,pie3|yi4,piě|yì,"radical in Chinese characters (Kangxi radical 4), aka 撇[pie3]",
65,乀,U+4E40,fu2,fú,stretch,
66,乁,U+4E41,yi2|ji2,yí|jí,,
67,乂,U+4E42,yi4|ai4,yì|ài,to regulate,
68,乃,U+4E43,nai3|ai3,nǎi|ǎi,to be,乃堆拉|乃堆拉山口|乃是
69,乄,U+4E44,wu3,wǔ,,
70,久,U+4E45,jiu3,jiǔ,(of a period of time) long,N久|不久|不久前
71,乆,U+4E46,jiu3,jiǔ,old variant of 久[jiu3],
72,乇,U+4E47,tuo1|zhe2,tuō|zhé,old variant of 托[tuo1],
73,么,U+4E48,me|yao1|mo2|ma,me|yāo|mó|ma,surname Yao,不怎么|不怎么样|么並矢
74,义,U+4E49,yi4,yì,surname Yi,三侠五义|三国演义|三民主义
75,乊,U+4E4A,yi1,yī,"one of the characters used in kwukyel (phonetic ""ho""), an ancient Korean writing system",
76,之,U+4E4B,zhi1|zhu1|zhi4,zhī|zhū|zhì,"(possessive particle, literary equivalent of 的[de5])",一丘之貉|一之為甚|一之为甚
77,乌,U+4E4C,wu1|wu4,wū|wù,"abbr. for country names that begin with 烏|乌[wu1]: Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2], Uzbekistan 烏茲別克斯坦|乌兹别克斯坦[Wu1 zi1 bie2 ke4 si1 tan3] etc",三足乌|三足金乌|丢乌纱帽
78,乍,U+4E4D,zha4|zuo4,zhà|zuò,at first,一驚一乍|一惊一乍|乍得
79,乎,U+4E4E,hu1,hū,(classical particle similar to 於|于[yu2]) in,不亦樂乎|不亦乐乎|不在乎
80,乏,U+4E4F,fa2,fá,short of,不乏|不虞匱乏|不虞匮乏
81,乐,U+4E50,le4|yue4,lè|yuè,surname Le,上海音乐学院|不亦乐乎|中国游艺机游乐园协会
82,乑,U+4E51,yin2|pan1|zhong4,yín|pān|zhòng,to stand side by side,
83,乒,U+4E52,ping1,pīng,(onom.) ping,乒乓|乒乓球|乒乓球拍
84,乓,U+4E53,pang1,pāng,(onom.) bang,乒乓|乒乓球|乒乓球拍
85,乔,U+4E54,qiao2,qiáo,surname Qiao,杰弗里·乔叟|南乔治亚岛和南桑威奇|史蒂夫·乔布斯
86,乕,U+4E55,hu3,hǔ,old variant of 虎[hu3],
87,乖,U+4E56,guai1,guāi,"(of a child) obedient, well-behaved",上一次當，學一次乖|上一次当，学一次乖|乖乖
88,乗,U+4E57,cheng2,chéng,Japanese variant of 乘[cheng2],
89,乘,U+4E58,cheng2|sheng4,chéng|shèng,surname Cheng,上乘|乘人不備|乘人不备
90,乙,U+4E59,yi3|yi4|jue2,yǐ|yì|jué,second of the ten Heavenly Stems 十天干[shi2 tian1 gan1],乙丑|乙二醇|乙亥
91,乚,U+4E5A,yin3,yǐn,,
92,乛,U+4E5B,ya,ya,variant of 乙[zhe2],
93,乜,U+4E5C,mie1|nie4,miē|niè,surname Nie,乜嘢|乜斜
94,九,U+4E5D,jiu3|jiu1,jiǔ|jiū,nine,一二九運動|一二九运动|一言九鼎
95,乞,U+4E5E,qi3|qi4,qǐ|qì,to beg,乞丐|乞人|乞伏
96,也,U+4E5F,ye3|yi2,yě|yí,surname Ye,不提也罷|不提也罢|之乎者也
97,习,U+4E60,xi2,xí,surname Xi,修习|传习|反习
98,乡,U+4E61,xiang1,xiāng,country or countryside,七美乡|三地门乡|三星乡
99,乢,U+4E62,gai4,gài,ancient variant of 蓋|盖[gai4],
100,乣,U+4E63,jiu3,jiǔ,old variant of 糺[jiu3],
101,乤,U+4E64,xia4,xià,"first character in place name 乤浦 ""Halpho"" (Korean gugja)",
102,乥,U+4E65,hu4,hù,"one of the characters used in kwukyel (phonetic ""hol""), an ancient Korean writing system",
103,书,U+4E66,shu1,shū,abbr. for 書經|书经[Shu1 jing1],K书|三联书店|上书
104,乧,U+4E67,dou3,dǒu,"archaic Korean hanja pronounced dul, phonetic 斗 du plus 乙 ul",
105,乨,U+4E68,shi3,shǐ,old variant of 始[shi3],
106,乩,U+4E69,ji1,jī,to divine,乩童|扶乩|童乩
107,乪,U+4E6A,nang2,náng,a bend in a river (Cantonese),
108,乫,U+4E6B,jia1,jiā,"phonetic ""gal"" used in place names (Korean gugja)",
109,乬,U+4E6C,ju4,jù,,
110,乭,U+4E6D,shi2,shí,rock,
111,乮,U+4E6E,mao3,mǎo,,
112,乯,U+4E6F,hu1,hū,,
113,买,U+4E70,mai3,mǎi,to buy,一寸光阴一寸金，寸金难买寸光阴|一锤子买卖|代拿买特
114,乱,U+4E71,luan4,luàn,in confusion or disorder,一团乱糟|丁卯胡乱|三藩之乱
115,乲,U+4E72,zi1,zī,,
116,乳,U+4E73,ru3,rǔ,(bound form) breast,下乳|乳交|乳光
117,乴,U+4E74,xue2,xué,to grasp,
118,乵,U+4E75,yan3,yǎn,,
119,乶,U+4E76,fu3,fǔ,"(phonetic ""pol"", used in Korean place names)",乶下
120,乷,U+4E77,sha1,shā,"phonetic ""sal"" (Korean gugja)",
121,乸,U+4E78,na3,nǎ,feminine suffix (Cantonese),
122,乹,U+4E79,gan1,gān,old variant of 乾[qian2],
123,乺,U+4E7A,suo3,suǒ,"phonetic ""sol"" used in place names (Korean gugja)",
124,乻,U+4E7B,yu2,yú,,
125,乼,U+4E7C,cui,cui,rope (Korean gugja),
126,乽,U+4E7D,zhe3,zhě,,
127,乾,U+4E7E,qian2|gan1,qián|gān,old variant of 乾[qian2],一乾二淨|不乾不淨|不乾不淨，吃了沒病
128,乿,U+4E7F,zhi4|luan4,zhì|luàn,old variant of 亂|乱[luan4],
129,亀,U+4E80,gui1,guī,old variant of 龜|龟[gui1],
130,亁,U+4E81,gan1,gān,variant of 乾[qian2],
131,亂,U+4E82,luan4,luàn,in confusion or disorder,一團亂糟|丁卯胡亂|三藩之亂
132,亃,U+4E83,lin3|lin4,lǐn|lìn,"mythical animal, said to have yellow body and white tail",
133,亄,U+4E84,yi4,yì,covetous; greedy; stingy,
134,亅,U+4E85,jue2,jué,"""vertical stroke with hook"" radical in Chinese characters (Kangxi radical 6), aka 豎鉤|竖钩[shu4 gou1]",
135,了,U+4E86,le|liao3|liao4,le|liǎo|liào,(completed action marker),一了百了|一目了然|一笑了之
136,亇,U+4E87,ma,ma,variant of 個|个[ge4],
137,予,U+4E88,yu3|yu2|zhu4,yǔ|yú|zhù,(archaic) I,不予理會|不予理会|不予置評
138,争,U+4E89,zheng1,zhēng,to strive for,丁卯战争|不正当竞争|不争
139,亊,U+4E8A,shi4,shì,variant of 事[shi4],
140,事,U+4E8B,shi4|zi4,shì|zì,matter,一事無成|一事无成|一二八事變
141,二,U+4E8C,er4,èr,two,一不做，二不休|一乾二淨|一干二净
142,亍,U+4E8D,chu4,chù,to step with the right foot (used in 彳亍[chi4 chu4]),彳亍
143,于,U+4E8E,yu2|wei2|yu1|xu1,yú|wéi|yū|xū,surname Yu,一年之计在于春|一日之计在于晨|不下于
144,亏,U+4E8F,kui1|yu2,kuī|yú,to lose (money); to have a deficit,不做亏心事，不怕鬼敲门|不听老人言，吃亏在眼前|功亏一篑
145,亐,U+4E90,yu2,yú,old variant of 于[yu2],
146,云,U+4E91,yun2,yún,(classical) to say,三叶星云|不知所云|九霄云外
147,互,U+4E92,hu4,hù,mutual,互不侵犯|互不相欠|互不相讓
148,亓,U+4E93,qi2,qí,surname Qi,
149,五,U+4E94,wu3,wǔ,five,一五一十|一推六二五|一退六二五
150,井,U+4E95,jing3|jing4,jǐng|jìng,"Jing, one of the 28 constellations of Chinese astronomy",一年被蛇咬，十年怕井繩|一年被蛇咬，十年怕井绳|一朝被蛇咬，十年怕井繩
151,亖,U+4E96,si4,sì,old variant of 四[si4],
152,亗,U+4E97,sui4,suì,,
153,亘,U+4E98,gen4|xuan1|geng4,gèn|xuān|gèng,extending all the way across,亘古|亘古不变|亘古未有
154,亙,U+4E99,gen4|geng4,gèn|gèng,extending all the way across,亙古|亙古不變|亙古未有
155,亚,U+4E9A,ya4,yà,Asia,三亚|三亚市|不亚
156,些,U+4E9B,xie1|suo4|suo1,xiē|suò|suō,"classifier indicating a small amount or small number greater than 1: some, a few, several",一些|些微|些許
157,亜,U+4E9C,ya4,yà,Japanese variant of 亞|亚,
158,亝,U+4E9D,qi2|zhai1,qí|zhāi,old variant of 齊|齐[qi2],
159,亞,U+4E9E,ya4|ya1|e4,yà|yā|è,Asia,三亞|三亞市|不亞
160,亟,U+4E9F,ji2|qi4,jí|qì,(literary) urgently; anxiously; earnestly,亟待|亟需
161,亠,U+4EA0,tou2,tóu,"""lid"" radical in Chinese characters (Kangxi radical 8)",
162,亡,U+4EA1,wang2|wu2,wáng|wú,to die,亡佚|亡八|亡兵紀念日
163,亢,U+4EA2,kang4|gang1|geng1,kàng|gāng|gēng,surname Kang,不亢不卑|不卑不亢|亢奮
164,亣,U+4EA3,da4,dà,,
165,交,U+4EA4,jiao1,jiāo,to hand over; to deliver; to pay (money); to turn over,一手交錢，一手交貨|一手交钱，一手交货|一面之交
166,亥,U+4EA5,hai4|jie1,hài|jiē,"12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar",丁亥|乙亥|亥時
167,亦,U+4EA6,yi4,yì,also,不亦|不亦樂乎|不亦乐乎
168,产,U+4EA7,chan3,chǎn,to give birth,三无产品|不事生产|不动产
169,亨,U+4EA8,heng1|xiang3|peng1,hēng|xiǎng|pēng,prosperous,亨丁頓舞蹈症|亨丁顿舞蹈症|亨利
170,亩,U+4EA9,mu3,mǔ,old variant of 畝|亩[mu3],一亩三分地|公亩|地亩
171,亪,U+4EAA,ye,ye,"one of the characters used in kwukyel (phonetic ""ye""), an ancient Korean writing system",
172,享,U+4EAB,xiang3,xiǎng,to enjoy,享受|享名|享國
173,京,U+4EAC,jing1,jīng,surname Jing,中俄北京條約|中俄北京条约|京九鐵路
174,亭,U+4EAD,ting2,tíng,pavilion,亭亭玉立|亭午|亭子
175,亮,U+4EAE,liang4|liang2,liàng|liáng,bright; light,一時瑜亮|一时瑜亮|三個臭皮匠，勝過一個諸葛亮
176,亯,U+4EAF,xiang3,xiǎng,old variant of 享[xiang3],
177,亰,U+4EB0,jing1,jīng,,
178,亱,U+4EB1,ye4,yè,variant of 夜[ye4],
179,亲,U+4EB2,qin1|qing4,qīn|qìng,parent,一亲芳泽|三亲六故|串亲访友
180,亳,U+4EB3,bo2,bó,name of district in Anhui,亳州|亳州市
181,亴,U+4EB4,you4,yòu,,
182,亵,U+4EB5,xie4,xiè,obscene,淫亵|淫词亵语|猥亵
183,亶,U+4EB6,dan3|dan4|chan2|zhan1,dǎn|dàn|chán|zhān,surname Dan,
184,亷,U+4EB7,lian2,lián,old variant of 廉[lian2],
185,亸,U+4EB8,duo3,duǒ,hang down,
186,亹,U+4EB9,wei3|men2,wěi|mén,mountain pass,亹亹|亹亹不倦
187,人,U+4EBA,ren2,rén,person; people,K人|e人|i人
188,亻,U+4EBB,ren2,rén,"""person"" radical in Chinese characters (Kangxi radical 9)",
189,亼,U+4EBC,ji2,jí,variant of 集[ji2],
190,亽,U+4EBD,ji2,jí,old variant of 亼[ji2],
191,亾,U+4EBE,wang2,wáng,old variant of 亡[wang2],
192,亿,U+4EBF,yi4,yì,100 million,以亿计|亿万|亿万富翁
193,什,U+4EC0,shen2|shi2,shén|shí,what,什一奉獻|什一奉献|什剎海
194,仁,U+4EC1,ren2,rén,humane,一視同仁|一视同仁|不仁
195,仂,U+4EC2,le4|li4,lè|lì,surplus,仂語|仂语
196,仃,U+4EC3,ding1|ding3,dīng|dǐng,used in 伶仃[ling2 ding1],伶仃|孤苦伶仃|瘦伶仃
197,仄,U+4EC4,ze4,zè,to tilt,仄徑|仄径|仄聲
198,仅,U+4EC5,jin3|fu4|nu2|jin4,jǐn|fù|nú|jìn,barely,不仅|不仅仅|不仅如此
199,仆,U+4EC6,pu1|pu2,pū|pú,to fall forward,主仆|仆街|仆人
200,仇,U+4EC7,chou2|qiu2|ju1,chóu|qiú|jū,surname Qiu,一箭之仇|三仇|世仇
201,仈,U+4EC8,ba1,bā,surname Ba,
202,仉,U+4EC9,zhang3,zhǎng,surname Zhang,
203,今,U+4ECA,jin1,jīn,now,也有今天|事到今日|事到如今
204,介,U+4ECB,jie4|ge4,jiè|gè,to introduce,一介不取|中介|中介所
205,仌,U+4ECC,bing1,bīng,old variant of 冰[bing1],
206,仍,U+4ECD,reng2,réng,still; yet,仍然|仍舊|仍旧
207,从,U+4ECE,cong2|zong4,cóng|zòng,variant of 從|从[cong2],一部二十四史，不知从何说起|三从四德|主从
208,仏,U+4ECF,fo2,fó,Japanese variant of 佛,
209,仐,U+4ED0,san3,sǎn,,
210,仑,U+4ED1,lun2,lún,to arrange,二仑|二仑乡|克仑特罗
211,仒,U+4ED2,bing1,bīng,"one of the characters used in kwukyel (phonetic ""eo"" or ""sya""), an ancient Korean writing system",
212,仓,U+4ED3,cang1,cāng,barn,侏儒仓鼠|仓位|仓促
213,仔,U+4ED4,zai3|zi3|zi1,zǎi|zǐ|zī,variant of 崽[zai3],E仔|K仔|三七仔
214,仕,U+4ED5,shi4,shì,to serve as an official,仕女|仕宦|仕途
215,他,U+4ED6,ta1|tuo2,tā|tuó,"(third-person singular) (since the early 20th century, usu. male) he; him; his",K他命|他人|他他米
216,仗,U+4ED7,zhang4,zhàng,weaponry,仗勢|仗势|仗勢欺人
217,付,U+4ED8,fu4,fù,surname Fu,一次總付|一次总付|交付
218,仙,U+4ED9,xian1|xian3,xiān|xiǎn,immortal,中華仙鶲|中华仙鹟|仙丹
219,仚,U+4EDA,xian1,xiān,old variant of 仙[xian1],
220,仛,U+4EDB,tuo1|duo2|cha4|zhe2,tuō|duó|chà|zhé,,
221,仜,U+4EDC,hong2,hóng,,
222,仝,U+4EDD,tong2,tóng,variant of 同[tong2] (used as a surname and in given names),
223,仞,U+4EDE,ren4,rèn,"unit of length used in ancient times, equal to 7 or 8 Chinese feet 尺[chi3]",壁立千仞
224,仟,U+4EDF,qian1,qiān,thousand (banker's anti-fraud numeral),
225,仠,U+4EE0,gan3|han4,gǎn|hàn,,
226,仡,U+4EE1,ge1|yi4|wu4,gē|yì|wù,"used in 仡佬族[Ge1 lao3 zu2], Gelao or Klau ethnic group of Guizhou",仡佬族|務川仡佬族苗族自治縣|务川仡佬族苗族自治县
227,仢,U+4EE2,bo2,bó,,
228,代,U+4EE3,dai4,dài,to be a substitute for; to act on behalf of; to replace; to substitute,一代|一代不如一代|七十年代
229,令,U+4EE4,ling4|ling2|ling3|lian2,lìng|líng|lǐng|lián,used in 脊令[ji2 ling2],一個將軍一個令|一个将军一个令|三令五申
230,以,U+4EE5,yi3|si4,yǐ|sì,old variant of 以[yi3],一以貫之|一以贯之|一則以喜，一則以憂
231,仦,U+4EE6,chao4,chào,,
232,仧,U+4EE7,chang2,cháng,,
233,仨,U+4EE8,sa1,sā,three (colloquial equivalent of 三個|三个),
234,仩,U+4EE9,chang2,cháng,,
235,仪,U+4EEA,yi2,yí,apparatus,下线仪式|候风地动仪|仪仗
236,仫,U+4EEB,mu4,mù,"used in 仫佬族[Mu4 lao3 zu2], Mulao ethnic group of Guangxi",仫佬|仫佬族|羅城仫佬族自治縣
237,们,U+4EEC,men|men2,men|mén,"plural marker for pronouns, and nouns referring to individuals",亚们|人们|他们
238,仭,U+4EED,ren4,rèn,,
239,仮,U+4EEE,fan3,fǎn,Japanese variant of 假[jia3],
240,仯,U+4EEF,chao4|miao3,chào|miǎo,,
241,仰,U+4EF0,yang3|ang2,yǎng|áng,surname Yang,久仰|久仰大名|人仰馬翻
242,仱,U+4EF1,qian2|jing1,qián|jīng,,
243,仲,U+4EF2,zhong4,zhòng,surname Zhong,不分伯仲|仲介|仲夏
244,仳,U+4EF3,pi3|pi2|bi4,pǐ|pí|bì,to part,
245,仴,U+4EF4,wo4,wò,,
246,仵,U+4EF5,wu3,wǔ,surname Wu,仵作|仵工
247,件,U+4EF6,jian4|mou2,jiàn|móu,item,三件套式西裝|三件套式西装|中間件
248,价,U+4EF7,jia4|jie|jie4,jià|jie|jiè,(literary) messenger; servant,一价|一口价|三价
249,仸,U+4EF8,yao3|fo2,yǎo|fó,,
250,仹,U+4EF9,feng1,fēng,,
251,仺,U+4EFA,cang1,cāng,,
252,任,U+4EFB,ren4|ren2|lin4,rèn|rén|lìn,surname Ren,上任|下任|不信任動議
253,仼,U+4EFC,wang2,wáng,,
254,份,U+4EFD,fen4|bin1,fèn|bīn,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc",一式二份|一月份|七月份
255,仾,U+4EFE,di1,dī,,
256,仿,U+4EFF,fang3|pang2,fǎng|páng,to imitate,仿似|仿佛|仿傚
257,伀,U+4F00,zhong1,zhōng,restless,
258,企,U+4F01,qi3,qǐ,(bound form) to stand on tiptoe and look; to anticipate; to look forward to,三無企業|三无企业|三資企業
259,伂,U+4F02,pei4,pèi,,
260,伃,U+4F03,yu2|yu3|xu4,yú|yǔ|xù,,
261,伄,U+4F04,diao4,diào,used in 伄儅[diao4 dang1],伄儅
262,伅,U+4F05,dun4,dùn,,
263,伆,U+4F06,wu4,wù,,
264,伇,U+4F07,yi4,yì,old variant of 役[yi4],
265,伈,U+4F08,xin3|lin3,xǐn|lǐn,nervous,
266,伉,U+4F09,kang4|gang1|kang3,kàng|gāng|kǎng,spouse,伉儷|伉俪|伉儷情深
267,伊,U+4F0A,yi1,yī,surname Yi,中俄伊犁條約|中俄伊犁条约|中國伊斯蘭教協會
268,伋,U+4F0B,ji2|fan2,jí|fán,unreal,
269,伌,U+4F0C,ai4,ài,,
270,伍,U+4F0D,wu3,wǔ,surname Wu,伍奢|伍子胥|伍家崗
271,伎,U+4F0E,ji4|zhi4|qi2|qi4,jì|zhì|qí|qì,artistry,伎倆|伎俩|故伎
272,伏,U+4F0F,fu2|fu4,fú|fù,surname Fu,三伏|三伏天|中伏
273,伐,U+4F10,fa2,fá,to cut down,伐木|伐木場|伐木场
274,休,U+4F11,xiu1|xu4,xiū|xù,surname Xiu,一不做，二不休|一醉方休|不休
275,伒,U+4F12,jin4|yin2,jìn|yín,,
276,伓,U+4F13,pi1,pī,,
277,伔,U+4F14,dan3,dǎn,,
278,伕,U+4F15,fu1,fū,variant of 夫[fu1],馬伕
279,伖,U+4F16,tang3,tǎng,,
280,众,U+4F17,zhong4|yin2,zhòng|yín,"abbr. for 眾議院|众议院[Zhong4 yi4 yuan4], House of Representatives",一览众山小|不孚众望|不负众望
281,优,U+4F18,you1|you2,yōu|yóu,excellent,占优势|优伶|优先
282,伙,U+4F19,huo3|huo,huǒ|huo,meals (abbr. for 伙食[huo3 shi2]),伙伴|伙同|伙夫
283,会,U+4F1A,hui4|kuai4,huì|kuài,can; to have the skill; to know how to,一力降十会|一学就会|一时半会
284,伛,U+4F1B,yu3,yǔ,hunchbacked,
285,伜,U+4F1C,cui4,cuì,variant of 倅[cui4],
286,伝,U+4F1D,yun2,yún,Japanese variant of 傳|传,
287,伞,U+4F1E,san3,sǎn,umbrella,低空跳伞|保护伞|伞下
288,伟,U+4F1F,wei3,wěi,big,伟人|伟力|伟哥
289,传,U+4F20,chuan2|zhuan4,chuán|zhuàn,to pass on,一传十，十传百|上传|上海文广新闻传媒集团
290,伡,U+4F21,che1,chē,,
291,伢,U+4F22,ya2,yá,(dialect) child,伢子|伢崽
292,伣,U+4F23,qian4,qiàn,(old) like,
293,伤,U+4F24,shang1,shāng,to injure,不伤脾胃|丘脑损伤|中伤
294,伥,U+4F25,chang1,chāng,(bound form) ghost of sb devoured by a tiger who helps the tiger devour others,伥鬼|为虎作伥
295,伦,U+4F26,lun2,lún,human relationship,不伦|不伦不类|不列颠哥伦比亚
296,伧,U+4F27,cang1|chen,cāng|chen,low fellow,寒伧
297,伨,U+4F28,xun4,xùn,,
298,伩,U+4F29,xin4,xìn,variant of 信[xin4] (originally meant as part of the second round of simplified Chinese characters),
299,伪,U+4F2A,wei3,wěi,false,假冒伪劣|伪代码|伪劣
300,伫,U+4F2B,zhu4,zhù,to stand for a long time,伫列|伫立
301,伬,U+4F2C,ze,ze,,
302,伭,U+4F2D,xian2,xián,surname Xian,
303,伮,U+4F2E,nu3,nǔ,,
304,伯,U+4F2F,bo2|bai3|mo4|ba4,bó|bǎi|mò|bà,variant of 霸[ba4],不分伯仲|世伯|亞伯
305,估,U+4F30,gu1|gu4,gū|gù,to estimate,不可估量|估值|估價
306,伱,U+4F31,ni3,nǐ,old variant of 你[ni3],
307,伲,U+4F32,ni4|ni2|ni3,nì|ní|nǐ,variant of 你[ni3],
308,伳,U+4F33,xie4,xiè,,
309,伴,U+4F34,ban4|pan4,bàn|pàn,partner; companion; comrade; associate,伙伴|伴侶|伴侣
310,伵,U+4F35,xu4,xù,,
311,伶,U+4F36,ling2,líng,(old) actor; actress,伶人|伶仃|伶俐
312,伷,U+4F37,zhou4,zhòu,,
313,伸,U+4F38,shen1,shēn,to stretch,伸冤|伸出|伸卡球
314,伹,U+4F39,qu1|zu4,qū|zù,clumsy and dumb,
315,伺,U+4F3A,ci4|si4,cì|sì,used in 伺候[ci4 hou5],伺候|伺服|伺服器
316,伻,U+4F3B,beng1,bēng,to cause,
317,似,U+4F3C,shi4|si4,shì|sì,used in 似的[shi4 de5],仿似|似乎|似地
318,伽,U+4F3D,ga1|jia1|qie2,gā|jiā|qié,used in the transliteration of Greek letters,伽倻|伽倻琴|伽利略
319,伾,U+4F3E,pi1,pī,multitudinous,王伾
320,伿,U+4F3F,yi4,yì,,
321,佀,U+4F40,si4,sì,old variant of 似[si4],
322,佁,U+4F41,yi3|ai3|si4|chi4,yǐ|ǎi|sì|chì,,
323,佂,U+4F42,zheng1,zhēng,,
324,佃,U+4F43,dian4|tian2,diàn|tián,to rent farmland from a landlord,佃戶|佃户|佃農
325,佄,U+4F44,han1|gan4,hān|gàn,,
326,佅,U+4F45,mai4,mài,,
